Datum;Zeitstempel;Treatment;Entscheidung_1;Entscheidung_2;Codierung;Erinnerter_Preis;Angemessenheit;Wahrnehmungskontrast;Konzession;Reaktanz;Validitaetscheck;Angemessenheit_invertiert;Boomerang_Variable;Manipulationscheck_Preis;Manipulationscheck_Validitaet
19.08.2026; 18:45:30;849;Ablehnung;Ablehnung;0;849;4;2;2;3;4;2;2,5;Ja;Ja
19.08.2026; 19:05:11;1500;Ablehnung;Annahme;1;1500;1;4;4;2;5;5;3,5;Ja;Ja
19.08.2026; 19:08:02;4000;Ablehnung;Ablehnung;0;800;2;2;3;4;4;4;4;Nein;Ja
19.08.2026; 19:08:26;8000;Ablehnung;Ablehnung;0;8000;1;4;2;4;3;5;4,5;Ja;Ja
19.08.2026; 19:19:07;4000;Ablehnung;Ablehnung;0;4000;1;3;2;4;2;5;4,5;Ja;Nein
19.08.2026; 19:20:26;4000;Ablehnung;Ablehnung;0;4000;1;3;2;2;5;5;3,5;Ja;Ja
19.08.2026; 19:20:48;849;Ablehnung;Ablehnung;0;849;2;1;1;3;4;4;3,5;Ja;Ja
19.08.2026; 19:24:47;4000;Ablehnung;Ablehnung;0;4000;1;2;2;5;1;5;5;Ja;Nein
19.08.2026; 19:37:59;10000;Ablehnung;Annahme;1;6000;1;3;4;4;4;5;4,5;Nein;Ja
20.08.2026; 16:40:44;6000;Ablehnung;Ablehnung;0;6000;1;2;2;3;2;5;4;Ja;Nein
20.08.2026; 16:41:25;6000;Ablehnung;Ablehnung;0;5000;1;2;1;1;3;5;3;Nein;Ja
20.08.2026; 16:46:08;849;Annahme;Nicht benötigt (Direkte Annahme);1;849;3;4;4;2;5;3;2,5;Ja;Ja
20.08.2026; 16:47:05;10000;Ablehnung;Ablehnung;0;10000;1;3;3;5;5;5;5;Ja;Ja
20.08.2026; 16:50:48;8000;Ablehnung;Ablehnung;0;800;2;2;2;2;4;4;3;Nein;Ja
20.08.2026; 16:51:10;1500;Annahme;Nicht benötigt (Direkte Annahme);;1500;4;5;4;2;5;2;2;Ja;Ja
20.08.2026; 16:51:36;4000;Ablehnung;Annahme;1;4000;2;3;1;3;4;4;3,5;Ja;Ja
20.08.2026; 16:56:16;4000;Ablehnung;Ablehnung;0;;1;1;3;4;4;5;4,5;Nein;Ja
20.08.2026; 16:56:38;4000;Ablehnung;Ablehnung;0;4000;1;4;3;5;2;5;5;Ja;Nein
20.08.2026; 16:59:22;4000;Ablehnung;Ablehnung;0;4000;1;2;2;4;5;5;4,5;Ja;Ja
20.08.2026; 17:00:13;1500;Ablehnung;Ablehnung;0;700;5;1;5;5;3;1;3;Nein;Ja
20.08.2026; 17:03:25;6000;Ablehnung;Ablehnung;0;6000;1;2;3;3;4;5;4;Ja;Ja
20.08.2026; 17:03:30;6000;Ablehnung;Ablehnung;0;6000;1;4;2;4;5;5;4,5;Ja;Ja
20.08.2026; 17:04:43;849;Annahme;Nicht benötigt (Direkte Annahme);1;500;4;4;4;3;2;2;2,5;Nein;Nein
20.08.2026; 17:05:13;10000;Ablehnung;Ablehnung;0;10000;1;3;5;4;5;5;4,5;Ja;Ja
20.08.2026; 17:08:25;849;Ablehnung;Ablehnung;0;879;3;2;4;2;5;3;2,5;Ja;Ja
20.08.2026; 17:08:30;6000;Ablehnung;Ablehnung;0;;2;1;1;1;2;4;2,5;Nein;Nein
20.08.2026; 17:10:47;10000;Ablehnung;Ablehnung;0;10000;1;2;4;4;5;5;4,5;Ja;Ja
20.08.2026; 17:10:59;8000;Ablehnung;Annahme;1;8000;1;4;3;2;4;5;3,5;Ja;Ja
20.08.2026; 17:13:39;6000;Ablehnung;Ablehnung;0;;1;2;1;1;1;5;3;Nein;Nein
20.08.2026; 17:14:28;1500;Ablehnung;Annahme;1;1500;2;4;4;1;3;4;2,5;Ja;Ja
20.08.2026; 17:18:08;8000;Ablehnung;Ablehnung;0;8000;1;3;2;5;3;5;5;Ja;Ja
20.08.2026; 17:22:01;1500;Ablehnung;Ablehnung;0;1100;1;1;2;5;3;5;5;Nein;Ja
20.08.2026; 17:23:03;849;Ablehnung;Ablehnung;0;849;4;2;2;2;4;2;2;Ja;Ja
20.08.2026; 17:25:08;1500;Ablehnung;Ablehnung;0;1500;2;3;2;4;4;4;4;Ja;Ja
20.08.2026; 17:25:34;1500;Ablehnung;Ablehnung;0;1500;1;3;3;4;5;5;4,5;Ja;Ja
20.08.2026; 17:27:45;1500;Ablehnung;Ablehnung;0;1500;1;2;2;2;3;5;3,5;Ja;Ja
20.08.2026; 17:30:20;4000;Ablehnung;Ablehnung;0;4000;2;3;1;5;5;4;4,5;Ja;Ja
20.08.2026; 17:32:38;1500;Ablehnung;Ablehnung;0;1500;1;3;2;5;5;5;5;Ja;Ja
20.08.2026; 17:34:49;1500;Ablehnung;Ablehnung;0;1400;1;3;1;5;3;5;5;Ja;Ja
20.08.2026; 17:35:06;8000;Ablehnung;Annahme;1;8000;1;4;3;3;4;5;4;Ja;Ja
20.08.2026; 17:43:23;10000;Ablehnung;Annahme;1;10000;1;4;5;3;5;5;4;Ja;Ja
20.08.2026; 17:43:28;6000;Ablehnung;Ablehnung;0;6000;1;2;1;5;4;5;5;Ja;Ja
20.08.2026; 17:43:41;1500;Ablehnung;Ablehnung;0;750;2;2;2;2;4;4;3;Nein;Ja
20.08.2026; 17:44:56;4000;Ablehnung;Ablehnung;0;4000;1;1;1;2;5;5;3,5;Ja;Ja
20.08.2026; 17:46:20;6000;Ablehnung;Annahme;1;6000;1;4;4;1;5;5;3;Ja;Ja
20.08.2026; 17:47:20;849;Ablehnung;Ablehnung;0;849;3;2;2;1;4;3;2;Ja;Ja
20.08.2026; 17:50:08;6000;Ablehnung;Annahme;1;6000;2;4;4;1;4;4;2,5;Ja;Ja
20.08.2026; 17:50:14;8000;Ablehnung;Ablehnung;0;8000;1;2;5;5;4;5;5;Ja;Ja
20.08.2026; 17:50:18;1500;Ablehnung;Ablehnung;0;1500;2;4;4;4;4;4;4;Ja;Ja
20.08.2026; 17:50:40;6000;Ablehnung;Annahme;1;6000;1;4;3;2;2;5;3,5;Ja;Nein
20.08.2026; 17:53:15;4000;Ablehnung;Ablehnung;0;1000;1;1;1;1;1;5;3;Nein;Nein
20.08.2026; 17:53:30;849;Ablehnung;Ablehnung;0;849;3;3;3;3;3;3;3;Ja;Ja
20.08.2026; 17:56:23;8000;Ablehnung;Annahme;1;8000;1;3;5;5;2;5;5;Ja;Nein
20.08.2026; 17:56:32;8000;Ablehnung;Ablehnung;0;8000;1;2;2;4;3;5;4,5;Ja;Ja
20.08.2026; 17:58:39;6000;Ablehnung;Ablehnung;0;6000;1;1;1;5;1;5;5;Ja;Nein
20.08.2026; 18:01:58;6000;Ablehnung;Ablehnung;0;6000;4;3;4;5;4;2;3,5;Ja;Ja
20.08.2026; 18:04:12;8000;Ablehnung;Annahme;1;6000;4;4;4;4;4;2;3;Nein;Ja
20.08.2026; 18:09:02;10000;Ablehnung;Ablehnung;0;10000;1;2;2;2;5;5;3,5;Ja;Ja
20.08.2026; 18:12:08;849;Ablehnung;Ablehnung;0;849;4;2;1;4;4;2;3;Ja;Ja
20.08.2026; 18:12:11;10000;Ablehnung;Ablehnung;0;10000;3;4;3;2;5;3;2,5;Ja;Ja
20.08.2026; 18:14:27;6000;Ablehnung;Ablehnung;0;6800;1;3;3;1;3;5;3;Nein;Ja
20.08.2026; 18:14:26;849;Annahme;Nicht benötigt (Direkte Annahme);1;900;2;4;3;2;3;4;3;Ja;Ja
20.08.2026; 18:17:57;849;Ablehnung;Ablehnung;0;849;3;2;2;4;5;3;3,5;Ja;Ja
20.08.2026; 18:18:46;849;Annahme;Nicht benötigt (Direkte Annahme);1;700800;4;4;4;2;4;2;2;Nein;Ja
20.08.2026; 18:21:45;1500;Ablehnung;Ablehnung;0;;1;1;2;5;3;5;5;Nein;Ja
20.08.2026; 18:22:00;849;Ablehnung;Ablehnung;0;849;3;3;1;3;5;3;3;Ja;Ja
20.08.2026; 18:24:09;1500;Ablehnung;Ablehnung;0;1500;1;1;3;5;5;5;5;Ja;Ja
20.08.2026; 18:26:13;1500;Ablehnung;Annahme;1;1500;2;5;3;1;5;4;2,5;Ja;Ja
20.08.2026; 18:26:26;1500;Ablehnung;Ablehnung;0;1500;3;2;3;2;4;3;2,5;Ja;Ja
20.08.2026; 18:35:41;849;Ablehnung;Ablehnung;0;949;3;4;3;4;4;3;3,5;Nein;Ja
20.08.2026; 18:38:30;4000;Ablehnung;Ablehnung;0;700800;2;3;3;3;3;4;3,5;Nein;Ja
20.08.2026; 18:38:39;4000;Ablehnung;Ablehnung;0;4000;1;1;1;2;2;5;3,5;Ja;Nein
20.08.2026; 18:41:30;1500;Ablehnung;Ablehnung;0;1500;5;2;3;3;4;1;2;Ja;Ja
20.08.2026; 18:43:39;849;Ablehnung;Ablehnung;0;849;2;1;1;5;5;4;4,5;Ja;Ja
20.08.2026; 18:43:48;1500;Ablehnung;Ablehnung;0;1000;2;4;4;2;4;4;3;Nein;Ja
20.08.2026; 18:46:14;1500;Ablehnung;Ablehnung;0;1500;1;3;5;5;5;5;5;Ja;Ja
20.08.2026; 18:46:26;10000;Ablehnung;Ablehnung;0;1000;2;3;2;5;4;4;4,5;Nein;Ja
20.08.2026; 18:51:13;10000;Annahme;Nicht benötigt (Direkte Annahme);;800;3;4;4;4;4;3;3,5;Nein;Ja
20.08.2026; 18:51:38;4000;Ablehnung;Ablehnung;0;4000;1;3;4;1;5;5;3;Ja;Ja
20.08.2026; 18:51:56;4000;Ablehnung;Ablehnung;0;40005000;1;3;3;5;2;5;5;Nein;Nein
20.08.2026; 18:53:58;8000;Ablehnung;Ablehnung;0;8000;1;1;1;5;5;5;5;Ja;Ja
20.08.2026; 18:55:38;6000;Ablehnung;Ablehnung;0;6000;1;3;2;3;1;5;4;Ja;Nein
20.08.2026; 18:56:40;10000;Ablehnung;Annahme;1;10000;1;5;5;5;5;5;5;Ja;Ja
20.08.2026; 18:58:55;1500;Ablehnung;Annahme;1;1500;2;5;5;3;5;4;3,5;Ja;Ja
20.08.2026; 18:59:33;1500;Ablehnung;Ablehnung;0;15002000;1;2;2;4;3;5;4,5;Nein;Ja
20.08.2026; 19:01:56;4000;Ablehnung;Ablehnung;0;4000;1;3;4;4;5;5;4,5;Ja;Ja
20.08.2026; 19:02:24;849;Ablehnung;Ablehnung;0;849;2;2;2;3;4;4;3,5;Ja;Ja
20.08.2026; 19:04:42;6000;Ablehnung;Ablehnung;0;6000;1;1;1;3;5;5;4;Ja;Ja
20.08.2026; 19:05:03;8000;Ablehnung;Ablehnung;0;8000;1;1;1;1;1;5;3;Ja;Nein
20.08.2026; 19:14:09;8000;Ablehnung;Ablehnung;0;8000;1;1;1;5;1;5;5;Ja;Nein
20.08.2026; 19:18:34;849;Ablehnung;Ablehnung;0;849;2;2;2;5;5;4;4,5;Ja;Ja
20.08.2026; 19:24:59;10000;Ablehnung;Ablehnung;0;10000;1;2;1;5;1;5;5;Ja;Nein
20.08.2026; 19:25:01;10000;Ablehnung;Ablehnung;0;10000;1;3;1;5;1;5;5;Ja;Nein
20.08.2026; 19:25:04;849;Ablehnung;Ablehnung;0;850;2;1;1;3;5;4;3,5;Ja;Ja
20.08.2026; 19:27:16;1500;Ablehnung;Annahme;1;1500;2;5;5;1;4;4;2,5;Ja;Ja
20.08.2026; 19:27:55;1500;Ablehnung;Ablehnung;0;1500;1;5;3;4;4;5;4,5;Ja;Ja
20.08.2026; 19:37:40;4000;Ablehnung;Ablehnung;0;800;3;3;3;3;3;3;3;Nein;Ja
20.08.2026; 19:38:48;849;Ablehnung;Ablehnung;0;849;4;2;2;4;4;2;3;Ja;Ja
20.08.2026; 19:38:52;6000;Ablehnung;Ablehnung;0;6000;3;1;1;3;1;3;3;Ja;Nein
20.08.2026; 19:43:21;1500;Ablehnung;Annahme;1;1500;2;4;3;2;4;4;3;Ja;Ja
20.08.2026; 19:43:25;4000;Ablehnung;Ablehnung;0;1000;1;3;3;2;3;5;3,5;Nein;Ja
20.08.2026; 19:51:15;8000;Ablehnung;Ablehnung;0;8000;1;3;4;5;5;5;5;Ja;Ja
20.08.2026; 19:51:26;1500;Ablehnung;Annahme;1;1500;3;4;4;1;4;3;2;Ja;Ja
20.08.2026; 19:51:33;6000;Ablehnung;Ablehnung;0;6000;1;4;4;5;4;5;5;Ja;Ja
20.08.2026; 19:59:10;6000;Ablehnung;Ablehnung;0;6000;1;1;2;2;2;5;3,5;Ja;Nein
20.08.2026; 19:59:45;8000;Ablehnung;Ablehnung;0;8000;2;3;3;4;3;4;4;Ja;Ja
20.08.2026; 20:02:02;1500;Ablehnung;Ablehnung;0;600700;1;1;1;3;1;5;4;Nein;Nein
20.08.2026; 20:04:13;1500;Ablehnung;Ablehnung;0;849;1;2;2;4;3;5;4,5;Nein;Ja
20.08.2026; 20:09:17;4000;Ablehnung;Ablehnung;0;4000;1;3;3;3;2;5;4;Ja;Nein
20.08.2026; 20:11:37;4000;Ablehnung;Annahme;1;4000;1;4;4;1;5;5;3;Ja;Ja
20.08.2026; 20:11:42;1500;Ablehnung;Ablehnung;0;1500;1;4;3;4;5;5;4,5;Ja;Ja
20.08.2026; 20:11:44;1500;Ablehnung;Ablehnung;0;1149;1;2;1;4;5;5;4,5;Nein;Ja
20.08.2026; 20:12:45;6000;Ablehnung;Ablehnung;0;6000;1;3;1;1;5;5;3;Ja;Ja
20.08.2026; 20:14:44;10000;Ablehnung;Ablehnung;0;10000;1;2;2;2;5;5;3,5;Ja;Ja
20.08.2026; 20:14:44;10000;Ablehnung;Ablehnung;0;10000;1;1;1;4;1;5;4,5;Ja;Nein
20.08.2026; 20:15:20;1500;Ablehnung;Ablehnung;0;1500;1;2;2;5;5;5;5;Ja;Ja
20.08.2026; 20:21:41;8000;Ablehnung;Ablehnung;0;8000;1;2;1;3;2;5;4;Ja;Nein
20.08.2026; 20:21:48;10000;Ablehnung;Ablehnung;0;10000;1;2;1;5;5;5;5;Ja;Ja
20.08.2026; 20:25:45;849;Ablehnung;Ablehnung;0;860;2;3;3;1;5;4;2,5;Ja;Ja
20.08.2026; 20:26:10;849;Ablehnung;Ablehnung;0;870;2;2;3;4;5;4;4;Ja;Ja
20.08.2026; 22:21:44;1500;Ablehnung;Ablehnung;0;1500;1;2;1;1;1;5;3;Ja;Nein
21.08.2026; 12:12:55;10000;Ablehnung;Ablehnung;0;1000;2;3;4;4;5;4;4;Nein;Ja
